conflict,country,pct_tot,v2x_libdem,GDP.norm,v2x_libdem.gradient,GDP.gradient_norm,International migrant stock (% of population),International migrant stock (% of population)_norm,v2xeg_eqdr,trade,trade_norm,"Population, total_norm"
Afghanistan,Iran,0.3483853678145518,0.167,1.0,0.139,1.0,4.25786235402481,0.4555512741656911,0.792,0.0,0.0,0.4433606424786702
Afghanistan,Pakistan,0.646790834784939,0.098,0.7464024331276424,0.07,0.7464024331276425,3.02488048378448,0.0,0.116,0.0,0.0,1.0
Afghanistan,Tajikistan,0.004779132609763723,0.081,0.0,0.053000000000000005,0.0,4.83767615150743,0.6697757656990266,0.473,0.0,0.0,0.01233572077493559
Afghanistan,Uzbekistan,2.233239537272768e-05,0.035,0.1186411483545591,0.007000000000000003,0.1186411483545591,5.73145148942692,1.0,0.683,0.0,0.0,0.14608317334162485
Afghanistan,Turkmenistan,2.233239537272768e-05,0.017,0.01879995563262745,-0.011,0.018799955632627447,4.8539804892635,0.675799748710032,0.574,0.0,0.0,0.0
Burundi,Democratic Republic of the Congo,0.15367261200594534,0.134,0.6631211842105321,0.033,0.6631211842105321,0.70624628058302,0.06568344079854557,0.219,0.0,0.0,1.0
Burundi,Rwanda,0.18195847362514028,0.146,0.0,0.044999999999999984,0.0,3.80308098441419,0.9999999999999999,0.803,0.0,0.0,0.0
Burundi,Tanzania,0.4802643552643553,0.389,0.9999999999999999,0.28800000000000003,1.0,0.488535530485828,0.0,0.527,0.0,0.0,0.6202068808318881
Central African Republic,Cameroon,0.4699982787619555,0.166,0.7090492546721364,-0.022999999999999993,0.7090492546721365,1.63631370372888,0.11924624559453674,0.432,0.0,0.0,0.2631363315570451
Central African Republic,Chad,0.16433486347329573,0.102,0.01695980364873867,-0.08700000000000001,0.01695980364873867,3.68277137079953,0.38162764665567084,0.201,0.0,0.0,0.12826662838042371
Central African Republic,Democratic Republic of the Congo,0.2852904623082751,0.146,0.6760227592628701,-0.04300000000000001,0.6760227592628703,0.70624628058302,0.0,0.224,0.0,0.0,0.9999999999999999
Central African Republic,Republic of the Congo,0.03928353127570845,0.093,0.22420730727829818,-0.096,0.22420730727829813,8.50579936930912,1.0,0.283,0.0,0.0,0.0
Central African Republic,South Sudan,0.0033245645064451557,0.105,0.0,-0.084,0.0,6.67856203968099,0.765725380820945,0.028,0.0,0.0,0.08686099911220724
