conflict,crossing,crossing_country,duration,duration_text,mode,crossing_lat,crossing_lon,conflict_lat,conflict_lon
Oleksandrivka,Yahodyn - Dorohusk,Poland,59002,16 hours 23 mins,driving,51.1852213611046,23.80777061,46.6,32.1
Oleksandrivka,Uhryniv - Dolhobychuv,Poland,60159,16 hours 43 mins,driving,50.5785250002374,24.0836589998308,46.6,32.1
Oleksandrivka,Ustyluh - Zosin,Poland,59785,16 hours 36 mins,driving,50.8592650004607,24.1346850003948,46.6,32.1
Oleksandrivka,Rava-Ruska - Khrebenne,Poland,59696,16 hours 35 mins,driving,50.2745417627704,23.5885080374323,46.6,32.1
Oleksandrivka,Krakivets - Korchova,Poland,60187,16 hours 43 mins,driving,49.9549865421823,23.1138868769913,46.6,32.1
Oleksandrivka,Shehyni - Medyka,Poland,60464,16 hours 48 mins,driving,49.7997107051379,22.9473589152849,46.6,32.1
Oleksandrivka,Hrushiv - Budomiezh,Poland,60558,16 hours 49 mins,driving,50.0969149998345,23.2801600001264,46.6,32.1
Oleksandrivka,Smilnytsia - Krostsenko,Poland,62784,17 hours 26 mins,driving,49.4815550002911,22.7013070001637,46.6,32.1
Oleksandrivka,Mamalyha - Кryva,Moldova,51732,14 hours 22 mins,driving,48.265739253562,26.6233986220189,46.6,32.1
Oleksandrivka,Rossoshany - Brichen,Moldova,49204,13 hours 40 mins,driving,48.3785652868895,27.0459503324662,46.6,32.1
Oleshky,Yahodyn - Dorohusk,Poland,56531,15 hours 42 mins,driving,51.1852213611046,23.80777061,46.6,32.7
Oleshky,Uhryniv - Dolhobychuv,Poland,57687,16 hours 1 min,driving,50.5785250002374,24.0836589998308,46.6,32.7
Oleshky,Ustyluh - Zosin,Poland,57313,15 hours 55 mins,driving,50.8592650004607,24.1346850003948,46.6,32.7
Oleshky,Rava-Ruska - Khrebenne,Poland,57224,15 hours 54 mins,driving,50.2745417627704,23.5885080374323,46.6,32.7
Oleshky,Krakivets - Korchova,Poland,57715,16 hours 2 mins,driving,49.9549865421823,23.1138868769913,46.6,32.7
Oleshky,Shehyni - Medyka,Poland,57992,16 hours 7 mins,driving,49.7997107051379,22.9473589152849,46.6,32.7
Oleshky,Hrushiv - Budomiezh,Poland,58086,16 hours 8 mins,driving,50.0969149998345,23.2801600001264,46.6,32.7
Oleshky,Smilnytsia - Krostsenko,Poland,60313,16 hours 45 mins,driving,49.4815550002911,22.7013070001637,46.6,32.7
Oleshky,Mamalyha - Кryva,Moldova,49260,13 hours 41 mins,driving,48.265739253562,26.6233986220189,46.6,32.7
Oleshky,Rossoshany - Brichen,Moldova,46732,12 hours 59 mins,driving,48.3785652868895,27.0459503324662,46.6,32.7
Kobleve,Yahodyn - Dorohusk,Poland,43990,12 hours 13 mins,driving,51.1852213611046,23.80777061,46.7,31.2
Kobleve,Uhryniv - Dolhobychuv,Poland,44371,12 hours 20 mins,driving,50.5785250002374,24.0836589998308,46.7,31.2
Kobleve,Ustyluh - Zosin,Poland,43746,12 hours 9 mins,driving,50.8592650004607,24.1346850003948,46.7,31.2
Kobleve,Rava-Ruska - Khrebenne,Poland,43908,12 hours 12 mins,driving,50.2745417627704,23.5885080374323,46.7,31.2
Kobleve,Krakivets - Korchova,Poland,44399,12 hours 20 mins,driving,49.9549865421823,23.1138868769913,46.7,31.2
Kobleve,Shehyni - Medyka,Poland,44676,12 hours 25 mins,driving,49.7997107051379,22.9473589152849,46.7,31.2
Kobleve,Hrushiv - Budomiezh,Poland,44770,12 hours 26 mins,driving,50.0969149998345,23.2801600001264,46.7,31.2
Kobleve,Smilnytsia - Krostsenko,Poland,46997,13 hours 3 mins,driving,49.4815550002911,22.7013070001637,46.7,31.2
Kobleve,Mamalyha - Кryva,Moldova,35944,9 hours 59 mins,driving,48.265739253562,26.6233986220189,46.7,31.2
Kobleve,Rossoshany - Brichen,Moldova,33416,9 hours 17 mins,driving,48.3785652868895,27.0459503324662,46.7,31.2
Kherson,Yahodyn - Dorohusk,Poland,56207,15 hours 37 mins,driving,51.1852213611046,23.80777061,46.7,32.6
Kherson,Uhryniv - Dolhobychuv,Poland,57363,15 hours 56 mins,driving,50.5785250002374,24.0836589998308,46.7,32.6
Kherson,Ustyluh - Zosin,Poland,56989,15 hours 50 mins,driving,50.8592650004607,24.1346850003948,46.7,32.6
Kherson,Rava-Ruska - Khrebenne,Poland,56900,15 hours 48 mins,driving,50.2745417627704,23.5885080374323,46.7,32.6
Kherson,Krakivets - Korchova,Poland,57391,15 hours 57 mins,driving,49.9549865421823,23.1138868769913,46.7,32.6
Kherson,Shehyni - Medyka,Poland,57668,16 hours 1 min,driving,49.7997107051379,22.9473589152849,46.7,32.6
Kherson,Hrushiv - Budomiezh,Poland,57762,16 hours 3 mins,driving,50.0969149998345,23.2801600001264,46.7,32.6
Kherson,Smilnytsia - Krostsenko,Poland,59989,16 hours 40 mins,driving,49.4815550002911,22.7013070001637,46.7,32.6
Kherson,Mamalyha - Кryva,Moldova,48936,13 hours 36 mins,driving,48.265739253562,26.6233986220189,46.7,32.6
Kherson,Rossoshany - Brichen,Moldova,46408,12 hours 53 mins,driving,48.3785652868895,27.0459503324662,46.7,32.6
Kyselivka,Yahodyn - Dorohusk,Poland,57860,16 hours 4 mins,driving,51.1852213611046,23.80777061,46.8,32.4
Kyselivka,Uhryniv - Dolhobychuv,Poland,59017,16 hours 24 mins,driving,50.5785250002374,24.0836589998308,46.8,32.4
Kyselivka,Ustyluh - Zosin,Poland,58643,16 hours 17 mins,driving,50.8592650004607,24.1346850003948,46.8,32.4
Kyselivka,Rava-Ruska - Khrebenne,Poland,58554,16 hours 16 mins,driving,50.2745417627704,23.5885080374323,46.8,32.4
Kyselivka,Krakivets - Korchova,Poland,59044,16 hours 24 mins,driving,49.9549865421823,23.1138868769913,46.8,32.4
Kyselivka,Shehyni - Medyka,Poland,59322,16 hours 29 mins,driving,49.7997107051379,22.9473589152849,46.8,32.4
Kyselivka,Hrushiv - Budomiezh,Poland,59415,16 hours 30 mins,driving,50.0969149998345,23.2801600001264,46.8,32.4
Kyselivka,Smilnytsia - Krostsenko,Poland,61642,17 hours 7 mins,driving,49.4815550002911,22.7013070001637,46.8,32.4
Kyselivka,Mamalyha - Кryva,Moldova,50590,14 hours 3 mins,driving,48.265739253562,26.6233986220189,46.8,32.4
Kyselivka,Rossoshany - Brichen,Moldova,48062,13 hours 21 mins,driving,48.3785652868895,27.0459503324662,46.8,32.4
Melitopol,Yahodyn - Dorohusk,Poland,56518,15 hours 42 mins,driving,51.1852213611046,23.80777061,46.8,35.4
Melitopol,Uhryniv - Dolhobychuv,Poland,59421,16 hours 30 mins,driving,50.5785250002374,24.0836589998308,46.8,35.4
Melitopol,Ustyluh - Zosin,Poland,57301,15 hours 55 mins,driving,50.8592650004607,24.1346850003948,46.8,35.4
Melitopol,Rava-Ruska - Khrebenne,Poland,61791,17 hours 10 mins,driving,50.2745417627704,23.5885080374323,46.8,35.4
Melitopol,Krakivets - Korchova,Poland,62281,17 hours 18 mins,driving,49.9549865421823,23.1138868769913,46.8,35.4
Melitopol,Shehyni - Medyka,Poland,62559,17 hours 23 mins,driving,49.7997107051379,22.9473589152849,46.8,35.4
Melitopol,Hrushiv - Budomiezh,Poland,62652,17 hours 24 mins,driving,50.0969149998345,23.2801600001264,46.8,35.4
Melitopol,Smilnytsia - Krostsenko,Poland,64879,18 hours 1 min,driving,49.4815550002911,22.7013070001637,46.8,35.4
Melitopol,Mamalyha - Кryva,Moldova,53826,14 hours 57 mins,driving,48.265739253562,26.6233986220189,46.8,35.4
Melitopol,Rossoshany - Brichen,Moldova,51299,14 hours 15 mins,driving,48.3785652868895,27.0459503324662,46.8,35.4
Mykolaiv,Yahodyn - Dorohusk,Poland,47560,13 hours 13 mins,driving,51.1852213611046,23.80777061,47.0,32.0
Mykolaiv,Uhryniv - Dolhobychuv,Poland,47941,13 hours 19 mins,driving,50.5785250002374,24.0836589998308,47.0,32.0
Mykolaiv,Ustyluh - Zosin,Poland,47316,13 hours 9 mins,driving,50.8592650004607,24.1346850003948,47.0,32.0
Mykolaiv,Rava-Ruska - Khrebenne,Poland,47479,13 hours 11 mins,driving,50.2745417627704,23.5885080374323,47.0,32.0
Mykolaiv,Krakivets - Korchova,Poland,47969,13 hours 19 mins,driving,49.9549865421823,23.1138868769913,47.0,32.0
Mykolaiv,Shehyni - Medyka,Poland,48247,13 hours 24 mins,driving,49.7997107051379,22.9473589152849,47.0,32.0
Mykolaiv,Hrushiv - Budomiezh,Poland,48340,13 hours 26 mins,driving,50.0969149998345,23.2801600001264,47.0,32.0
Mykolaiv,Smilnytsia - Krostsenko,Poland,50567,14 hours 3 mins,driving,49.4815550002911,22.7013070001637,47.0,32.0
Mykolaiv,Mamalyha - Кryva,Moldova,39514,10 hours 59 mins,driving,48.265739253562,26.6233986220189,47.0,32.0
Mykolaiv,Rossoshany - Brichen,Moldova,36987,10 hours 16 mins,driving,48.3785652868895,27.0459503324662,47.0,32.0
Mariupol,Yahodyn - Dorohusk,Poland,61323,17 hours 2 mins,driving,51.1852213611046,23.80777061,47.1,37.6
Mariupol,Uhryniv - Dolhobychuv,Poland,64227,17 hours 50 mins,driving,50.5785250002374,24.0836589998308,47.1,37.6
Mariupol,Ustyluh - Zosin,Poland,62106,17 hours 15 mins,driving,50.8592650004607,24.1346850003948,47.1,37.6
Mariupol,Rava-Ruska - Khrebenne,Poland,66596,18 hours 30 mins,driving,50.2745417627704,23.5885080374323,47.1,37.6
Mariupol,Krakivets - Korchova,Poland,67087,18 hours 38 mins,driving,49.9549865421823,23.1138868769913,47.1,37.6
Mariupol,Shehyni - Medyka,Poland,67364,18 hours 43 mins,driving,49.7997107051379,22.9473589152849,47.1,37.6
Mariupol,Hrushiv - Budomiezh,Poland,67458,18 hours 44 mins,driving,50.0969149998345,23.2801600001264,47.1,37.6
Mariupol,Smilnytsia - Krostsenko,Poland,69685,19 hours 21 mins,driving,49.4815550002911,22.7013070001637,47.1,37.6
Mariupol,Mamalyha - Кryva,Moldova,58632,16 hours 17 mins,driving,48.265739253562,26.6233986220189,47.1,37.6
Mariupol,Rossoshany - Brichen,Moldova,56104,15 hours 35 mins,driving,48.3785652868895,27.0459503324662,47.1,37.6
Velyka Oleksandrivka,Yahodyn - Dorohusk,Poland,50520,14 hours 2 mins,driving,51.1852213611046,23.80777061,47.3,33.3
Velyka Oleksandrivka,Uhryniv - Dolhobychuv,Poland,51677,14 hours 21 mins,driving,50.5785250002374,24.0836589998308,47.3,33.3
Velyka Oleksandrivka,Ustyluh - Zosin,Poland,51303,14 hours 15 mins,driving,50.8592650004607,24.1346850003948,47.3,33.3
Velyka Oleksandrivka,Rava-Ruska - Khrebenne,Poland,51214,14 hours 14 mins,driving,50.2745417627704,23.5885080374323,47.3,33.3
Velyka Oleksandrivka,Krakivets - Korchova,Poland,51705,14 hours 22 mins,driving,49.9549865421823,23.1138868769913,47.3,33.3
Velyka Oleksandrivka,Shehyni - Medyka,Poland,51982,14 hours 26 mins,driving,49.7997107051379,22.9473589152849,47.3,33.3
Velyka Oleksandrivka,Hrushiv - Budomiezh,Poland,52076,14 hours 28 mins,driving,50.0969149998345,23.2801600001264,47.3,33.3
Velyka Oleksandrivka,Smilnytsia - Krostsenko,Poland,54303,15 hours 5 mins,driving,49.4815550002911,22.7013070001637,47.3,33.3
Velyka Oleksandrivka,Mamalyha - Кryva,Moldova,43250,12 hours 1 min,driving,48.265739253562,26.6233986220189,47.3,33.3
Velyka Oleksandrivka,Rossoshany - Brichen,Moldova,40722,11 hours 19 mins,driving,48.3785652868895,27.0459503324662,47.3,33.3
Polohy,Yahodyn - Dorohusk,Poland,55214,15 hours 20 mins,driving,51.1852213611046,23.80777061,47.5,36.3
Polohy,Uhryniv - Dolhobychuv,Poland,58118,16 hours 9 mins,driving,50.5785250002374,24.0836589998308,47.5,36.3
Polohy,Ustyluh - Zosin,Poland,55997,15 hours 33 mins,driving,50.8592650004607,24.1346850003948,47.5,36.3
Polohy,Rava-Ruska - Khrebenne,Poland,60487,16 hours 48 mins,driving,50.2745417627704,23.5885080374323,47.5,36.3
Polohy,Krakivets - Korchova,Poland,60977,16 hours 56 mins,driving,49.9549865421823,23.1138868769913,47.5,36.3
Polohy,Shehyni - Medyka,Poland,61255,17 hours 1 min,driving,49.7997107051379,22.9473589152849,47.5,36.3
Polohy,Hrushiv - Budomiezh,Poland,61349,17 hours 2 mins,driving,50.0969149998345,23.2801600001264,47.5,36.3
Polohy,Smilnytsia - Krostsenko,Poland,63575,17 hours 40 mins,driving,49.4815550002911,22.7013070001637,47.5,36.3
Polohy,Mamalyha - Кryva,Moldova,52523,14 hours 35 mins,driving,48.265739253562,26.6233986220189,47.5,36.3
Polohy,Rossoshany - Brichen,Moldova,49995,13 hours 53 mins,driving,48.3785652868895,27.0459503324662,47.5,36.3
Oleksandrivka,Sokyriany - Oknytsia,Moldova,46421,12 hours 54 mins,driving,48.4393941383826,27.4628582013793,46.6,32.1
Oleksandrivka,Mohyliv-Podilskyi - Otach,Moldova,41561,11 hours 33 mins,driving,48.4448585627389,27.7913514087357,46.6,32.1
Oleksandrivka,Kuchurhan - Pervomaisk,Moldova,40785,11 hours 20 mins,driving,46.7372122988371,29.9744340074737,46.6,32.1
Oleksandrivka,Vynohradivka - Vulcanesti,Moldova,51414,14 hours 17 mins,driving,45.6975698575698,28.5011048032693,46.6,32.1
Oleksandrivka,Maiaky - Udobne-Palanka,Moldova,45964,12 hours 46 mins,driving,46.3845441486797,30.0874046179872,46.6,32.1
Oleksandrivka,Basarabiaska,Moldova,47493,13 hours 12 mins,driving,46.321406048852,28.9966357057719,46.6,32.1
Oleksandrivka,Novi Troiany - Ceadir-Lunga,Moldova,55809,15 hours 30 mins,driving,45.98123168,28.84332629,46.6,32.1
Oleksandrivka,Yampil - Soroca,Moldova,40808,11 hours 20 mins,driving,48.23847792,28.298352571968,46.6,32.1
Oleksandrivka,Platonove - Hoianul Nou,Moldova,38239,10 hours 37 mins,driving,47.4035177980076,29.3299989816095,46.6,32.1
Oleksandrivka,Bolhan - Khristova,Moldova,39994,11 hours 7 mins,driving,48.1345599996641,28.740979999872,46.6,32.1
Oleshky,Sokyriany - Oknytsia,Moldova,43949,12 hours 12 mins,driving,48.4393941383826,27.4628582013793,46.6,32.7
Oleshky,Mohyliv-Podilskyi - Otach,Moldova,39090,10 hours 52 mins,driving,48.4448585627389,27.7913514087357,46.6,32.7
Oleshky,Kuchurhan - Pervomaisk,Moldova,38314,10 hours 39 mins,driving,46.7372122988371,29.9744340074737,46.6,32.7
Oleshky,Vynohradivka - Vulcanesti,Moldova,48943,13 hours 36 mins,driving,45.6975698575698,28.5011048032693,46.6,32.7
Oleshky,Maiaky - Udobne-Palanka,Moldova,43493,12 hours 5 mins,driving,46.3845441486797,30.0874046179872,46.6,32.7
Oleshky,Basarabiaska,Moldova,45022,12 hours 30 mins,driving,46.321406048852,28.9966357057719,46.6,32.7
Oleshky,Novi Troiany - Ceadir-Lunga,Moldova,53337,14 hours 49 mins,driving,45.98123168,28.84332629,46.6,32.7
